price,mileage,age,state,modeltype,color
17991,15818,1,VA,LE,silver
17684,18739,1,TX,LE,silver
17684,19203,1,TX,LE,red
17900,25957,1,TN,LE,gold
17999,11567,1,NY,LE,white
19885,8558,1,WA,LE,black
17498,12927,1,TX,LE,black
16000,21628,2,VA,LE,grey
15493,24579,2,TX,LE,red
16650,4679,2,IL,LE,grey
14188,40404,2,TX,LE,silver
15727,28086,2,WA,LE,blue
15485,10683,2,FL,LE,grey
15988,27607,2,OR,LE,grey
13975,43001,2,TX,LE,gold
16390,18208,2,VA,LE,silver
14650,45375,2,CA,LE,gold
14839,37625,2,CA,LE,silver
16666,26783,2,AL,LE,silver
15360,29391,2,GA,LE,blue
13988,38350,2,TX,LE,blue
14000,44899,2,CA,LE,grey
14444,35391,2,GA,LE,silver
16750,19936,3,NV,LE,silver
13995,43031,3,NY,LE,red
12995,69615,3,SC,LE,gold
15944,20126,3,TX,LE,white
14400,49766,3,WA,LE,black
14147,48805,3,IN,LE,black
14375,29501,3,VA,LE,grey
15991,20745,3,VA,LE,red
15256,11007,3,MA,LE,grey
14811,22752,3,NJ,LE,silver
12992,55403,4,NC,LE,blue
12998,65273,4,SC,LE,grey
14977,27657,4,WA,LE,grey
13291,50163,4,CA,LE,gold
13995,35348,4,AZ,LE,silver
14800,31318,4,AK,LE,gold
15000,12966,4,PA,LE,silver
10611,101820,4,VA,LE,silver
13990,34244,4,IL,LE,blue
14800,31980,4,AK,LE,blue
14983,24322,4,MO,LE,grey
12890,51341,4,TX,LE,silver
14989,25921,4,VA,LE,silver
13974,33784,4,UT,LE,red
9995,120430,4,TN,LE,gold
14895,13879,4,TX,LE,white
12695,42609,5,CA,LE,black
12995,49230,5,CA,LE,black
9795,122266,5,AR,LE,grey
11850,52510,5,NY,LE,red
9999,100556,5,CO,LE,grey
10995,74468,5,GA,LE,silver
9995,100896,5,MS,LE,blue
13995,12149,5,MD,LE,grey
11898,57354,5,VA,LE,grey
15591,9104,5,CA,LE,gold
10888,80775,5,GA,LE,silver
12290,47003,5,VA,LE,gold
12395,63216,5,CA,LE,silver
6995,138083,5,GA,LE,silver
11695,44594,5,NY,LE,blue
8900,92102,5,TX,LE,blue
10500,52000,6,CO,LE,grey
9699,86669,6,MA,LE,gold
4999,191877,6,GA,LE,silver
8995,105000,6,MO,LE,silver
10995,56400,6,TX,LE,red
12488,21480,6,CA,LE,gold
10680,53261,6,NY,LE,white
8900,91238,6,PA,LE,black
6987,129667,7,KY,LE,black
10888,67000,7,WA,LE,grey
9995,65795,7,UT,LE,red
8998,100547,7,VA,LE,grey
6499,149550,7,TX,LE,silver
7950,130000,7,MC,LE,blue
7995,122602,7,GA,LE,grey
9995,82778,7,CA,LE,grey
7980,122317,7,CA,LE,gold
10500,61219,7,CT,LE,silver
10795,65475,7,IA,LE,gold
9485,101064,7,WA,LE,silver
8999,101000,7,MD,LE,silver
10950,53547,7,AL,LE,blue
7687,123083,7,LA,LE,blue
9995,63278,7,MA,LE,grey
9990,78918,7,CA,LE,gold
6988,124560,7,NK,LE,blue
5500,152936,7,NY,LE,green
8500,76000,7,FL,LE,blue
8900,79686,7,CA,LE,black
7500,123530,8,MS,LE,silver
8870,63604,8,CA,LE,silver
7990,88183,8,TN,LE,gold
7500,81425,8,FL,LE,silver
8450,76462,8,TX,LE,silver
5799,125600,8,FL,LE,blue
8800,69693,8,CA,LE,blue
7595,99892,8,NC,LE,grey
8999,72262,8,TN,LE,gold
6999,99000,8,NY,LE,silver
6500,129321,8,TX,LE,silver
6995,111648,8,VA,LE,red
8995,60948,8,UT,LE,gold
7495,71852,8,FL,LE,white
6799,115909,8,MA,LE,black
7500,90160,8,OH,LE,black
6400,130655,8,NY,LE,grey
6400,130655,8,NY,LE,red
9450,69810,8,CA,LE,grey
9750,60760,8,CA,LE,silver
6999,139696,8,NC,LE,blue
8795,74211,8,MS,LE,grey
6900,118266,8,PA,LE,grey
8000,98880,8,CA,LE,black
8200,86128,8,CA,LE,black
6990,109462,8,TX,LE,grey
5295,160137,8,TX,LE,red
7798,102580,8,AR,LE,grey
6416,109225,8,PA,LE,silver
5995,119500,8,CA,LE,blue
6999,100000,8,CA,LE,grey
7495,110922,9,HU,LE,grey
7450,94152,9,TX,LE,gold
6000,147332,9,CA,LE,silver
6777,108851,9,NJ,LE,gold
5995,117207,9,NH,LE,silver
7200,105570,9,TN,LE,silver
5495,144606,9,IL,LE,blue
6899,115711,9,CA,LE,blue
6988,94052,9,MA,LE,grey
7995,77892,9,VA,LE,gold
7495,102254,9,HI,LE,blue
5700,132207,9,GA,LE,green
6970,109028,9,VA,LE,blue
6999,117000,9,IA,LE,black
6995,101900,9,VA,LE,silver
6119,116684,9,NH,LE,silver
5206,137995,9,FL,LE,blue
6539,122493,10,AR,LE,grey
6500,99800,10,NY,LE,grey
5999,106736,10,OH,LE,gold
7999,75000,10,CA,LE,silver
6498,95621,10,VA,LE,gold
5995,147678,10,HI,LE,silver
5699,130675,10,VA,LE,silver
6998,104086,10,CA,LE,blue
6494,118466,10,WA,LE,blue
5453,133077,10,NY,LE,grey
4995,139030,10,NJ,LE,gold
7165,95324,10,CA,LE,blue
5379,125961,10,TX,LE,green
6580,110968,10,FL,LE,blue
5995,119500,10,CA,LE,black
6450,89000,10,OH,LE,silver
6295,108000,10,CA,LE,red
5999,80221,10,FL,LE,red
6500,83845,10,PA,LE,blue
5950,96094,10,MA,LE,white
5795,102563,10,NJ,LE,gold
4900,137541,10,MD,LE,silver
5195,126598,10,PA,LE,blue
6488,75445,10,CT,LE,silver
8489,66845,11,FL,LE,blue
3995,129766,11,NY,LE,blue
3995,137831,11,NY,LE,black
8277,60495,11,OH,LE,silver
8795,50945,11,NJ,LE,silver
7995,65951,11,MA,LE,blue
10122,75506,11,CT,LE,silver
9780,39440,11,FL,LE,silver
13991,39022,4,OR,LE,red
15988,27607,2,OR,LE,white
15995,27817,2,OR,LE,white
15711,32390,4,OR,LE,blue
13990,42164,4,OR,LE,black
13709,56423,3,OR,LE,silver
15998,33170,3,OR,LE,grey
15995,30429,4,OR,LE,blue
16930,19193,3,OR,LE,white
16680,22679,3,OR,LE,red
12987,73797,3,OR,LE,silver
14200,48664,4,OR,LE,white
17130,23191,3,OR,LE,silver
16180,34892,3,OR,LE,white
16200,37720,3,OR,LE,silver
14911,64950,2,OR,LE,black
10495,53750,8,CA,LE,grey
7991,111390,8,CA,LE,white
7299,81500,8,CA,LE,gold
9500,123557,6,CA,LE,silver
12400,81723,5,CA,LE,silver
11991,104541,4,CA,LE,black
19500,19246,1,CA,LE,black
13900,72176,7,CA,LE,grey
7980,122317,7,CA,LE,red
10995,92308,7,CA,LE,gold
14988,72112,6,CA,LE,grey
12800,49937,2,NY,LE,silver
12648,10706,6,NY,LE,red
13442,33455,4,NY,LE,silver
11695,44594,5,NY,LE,grey
11695,71599,3,NY,LE,black
15800,22252,4,NY,LE,grey
8475,83085,8,NY,LE,grey
7495,93865,8,NY,LE,black
9675,82425,8,NY,LE,gold
8900,111616,8,NY,LE,grey
7690,107335,8,NY,LE,white
10495,145987,8,NY,LE,silver
10495,53627,7,NY,LE,red
8499,94992,7,NY,LE,black
9660,87148,7,NY,LE,gold
12979,44866,7,NY,LE,silver
6500,96344,9,NY,LE,grey
7988,81324,9,NY,LE,white
9690,52011,9,NY,LE,silver
7990,114398,9,NY,LE,black
10495,53627,7,NY,LE,red
12979,44866,7,NY,LE,silver
